Categories,Descriptions,PdDistricts,Months,Day,TimeOfDay,ZipCode,Resolutions
0,25,2,4,0,2,94134,0
7,25,2,4,0,2,94134,0
13,21,2,4,0,2,94134,0
4,12,7,4,4,0,94104,1
6,2,8,4,0,2,94132,1
6,2,7,7,2,1,94103,1
6,2,2,4,0,2,94110,1
9,25,3,4,0,2,94110,0
7,25,3,4,0,2,94110,0
6,25,6,4,0,2,94118,1
6,25,3,4,1,2,94110,1
6,2,5,4,0,1,94117,1
4,29,1,4,0,0,94108,0
9,25,1,4,0,1,94111,1
4,13,7,4,0,1,94105,1
0,3,3,3,1,2,94114,1
8,25,7,7,1,1,94104,0
6,25,5,4,0,0,94117,1
8,31,7,4,2,0,94104,1
4,25,7,4,4,2,94105,1
4,28,7,4,4,2,94105,1
0,25,0,4,0,1,94124,0
0,25,0,4,0,1,94124,0
6,2,7,4,0,1,94103,1
7,25,3,4,0,1,94110,0
4,13,4,4,0,1,94123,1
13,25,1,4,2,3,94108,0
3,5,4,4,2,3,94102,1
6,2,5,7,3,0,94117,1
1,25,0,7,2,3,94124,1
4,14,9,4,6,0,94108,1
4,12,7,4,2,0,94103,1
1,25,7,4,2,3,94103,1
6,11,5,4,4,0,94114,1
4,27,1,4,2,0,94123,1
4,29,7,4,2,1,94103,0
12,38,7,4,2,1,94103,0
4,13,7,4,2,0,94103,1
8,37,9,4,0,3,94102,0
6,25,9,4,0,3,94102,0
4,29,7,4,2,0,94103,1
3,25,9,4,2,0,94108,1
12,38,9,4,2,0,94108,1
15,39,9,4,2,0,94108,1
15,39,4,4,3,3,94102,0
13,25,3,4,3,2,94110,1
6,25,4,4,3,2,94109,0
8,7,2,4,3,2,94112,0
5,24,5,4,0,2,94118,1
4,25,4,4,3,3,94109,1
11,34,0,4,3,2,94124,1
4,27,0,4,2,0,94124,1
4,26,7,4,0,0,94103,1
2,30,0,4,3,0,94124,0
8,37,0,4,3,0,94124,0
3,25,3,4,6,2,94103,0
15,39,3,4,6,2,94103,0
4,13,0,4,6,2,94158,1
13,22,7,4,6,0,94103,0
14,32,2,4,5,2,94134,1
11,34,1,4,6,0,94108,1
2,25,7,4,3,0,94103,0
8,37,2,4,3,0,94134,0
4,27,0,4,0,1,94124,1
15,39,2,4,3,0,94110,0
1,25,3,4,0,2,94102,1
13,21,9,4,6,0,94103,0
0,25,4,4,5,3,94102,1
